section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
primary_energy,primary_energy.phi_small_appliances,PHI Small Appliances,ph_assemblies,PH Assemblies,PHI Small Appliances,kWh,171.133163455,451
primary_energy,primary_energy.phi_small_appliances,PHI Small Appliances,airtightness_erv,Airtightness + ERV,PHI Small Appliances,kWh,171.133163455,451
primary_energy,primary_energy.phi_small_appliances,PHI Small Appliances,ph_windows,PH Windows,PHI Small Appliances,kWh,171.133163455,451
primary_energy,primary_energy.phius_int_lighting,Phius Int. Lighting,code_min,Code Min,Phius Int. Lighting,kWh,0,452
primary_energy,primary_energy.phius_int_lighting,Phius Int. Lighting,ph_assemblies,PH Assemblies,Phius Int. Lighting,kWh,0,452
primary_energy,primary_energy.phius_int_lighting,Phius Int. Lighting,airtightness_erv,Airtightness + ERV,Phius Int. Lighting,kWh,0,452
primary_energy,primary_energy.phius_int_lighting,Phius Int. Lighting,ph_windows,PH Windows,Phius Int. Lighting,kWh,0,452
primary_energy,primary_energy.phius_ext_lighting,Phius Ext. Lighting,code_min,Code Min,Phius Ext. Lighting,kWh,0,453
primary_energy,primary_energy.phius_ext_lighting,Phius Ext. Lighting,ph_assemblies,PH Assemblies,Phius Ext. Lighting,kWh,0,453
primary_energy,primary_energy.phius_ext_lighting,Phius Ext. Lighting,airtightness_erv,Airtightness + ERV,Phius Ext. Lighting,kWh,0,453
primary_energy,primary_energy.phius_ext_lighting,Phius Ext. Lighting,ph_windows,PH Windows,Phius Ext. Lighting,kWh,0,453
primary_energy,primary_energy.phius_mel,Phius MEL,code_min,Code Min,Phius MEL,kWh,0,454
primary_energy,primary_energy.phius_mel,Phius MEL,ph_assemblies,PH Assemblies,Phius MEL,kWh,0,454
primary_energy,primary_energy.phius_mel,Phius MEL,airtightness_erv,Airtightness + ERV,Phius MEL,kWh,0,454
primary_energy,primary_energy.phius_mel,Phius MEL,ph_windows,PH Windows,Phius MEL,kWh,0,454
primary_energy,primary_energy.aux_elec,Aux Elec,code_min,Code Min,Aux Elec,kWh,0,455
primary_energy,primary_energy.aux_elec,Aux Elec,ph_assemblies,PH Assemblies,Aux Elec,kWh,0,455
primary_energy,primary_energy.aux_elec,Aux Elec,airtightness_erv,Airtightness + ERV,Aux Elec,kWh,0,455
primary_energy,primary_energy.aux_elec,Aux Elec,ph_windows,PH Windows,Aux Elec,kWh,0,455
primary_energy,primary_energy.solar_pv,Solar PV,code_min,Code Min,Solar PV,kWh,0,456
primary_energy,primary_energy.solar_pv,Solar PV,ph_assemblies,PH Assemblies,Solar PV,kWh,0,456
primary_energy,primary_energy.solar_pv,Solar PV,airtightness_erv,Airtightness + ERV,Solar PV,kWh,0,456
primary_energy,primary_energy.solar_pv,Solar PV,ph_windows,PH Windows,Solar PV,kWh,0,456
certification_results,certification_results.heat_demand,Heat Demand,code_min,Code Min,Heat Demand,kWh/m2,45.3634843518,459
certification_results,certification_results.heat_demand,Heat Demand,ph_assemblies,PH Assemblies,Heat Demand,kWh/m2,41.2352943094,459
certification_results,certification_results.heat_demand,Heat Demand,airtightness_erv,Airtightness + ERV,Heat Demand,kWh/m2,26.1159994048,459
certification_results,certification_results.heat_demand,Heat Demand,ph_windows,PH Windows,Heat Demand,kWh/m2,14.7983060418,459
certification_results,certification_results.sensible_cooling_demand,Sensible Cooling Demand,code_min,Code Min,Sensible Cooling Demand,kWh/m2,8.64488475396,460
certification_results,certification_results.sensible_cooling_demand,Sensible Cooling Demand,ph_assemblies,PH Assemblies,Sensible Cooling Demand,kWh/m2,9.4283072572,460
certification_results,certification_results.sensible_cooling_demand,Sensible Cooling Demand,airtightness_erv,Airtightness + ERV,Sensible Cooling Demand,kWh/m2,9.26173968182,460
certification_results,certification_results.sensible_cooling_demand,Sensible Cooling Demand,ph_windows,PH Windows,Sensible Cooling Demand,kWh/m2,9.795229806,460
certification_results,certification_results.latent_cooling_demand,Latent Cooling Demand,code_min,Code Min,Latent Cooling Demand,kWh/m2,1.73199317467,461
certification_results,certification_results.latent_cooling_demand,Latent Cooling Demand,ph_assemblies,PH Assemblies,Latent Cooling Demand,kWh/m2,1.73199317467,461
certification_results,certification_results.latent_cooling_demand,Latent Cooling Demand,airtightness_erv,Airtightness + ERV,Latent Cooling Demand,kWh/m2,1.81834047137,461
certification_results,certification_results.latent_cooling_demand,Latent Cooling Demand,ph_windows,PH Windows,Latent Cooling Demand,kWh/m2,1.81834047137,461
certification_results,certification_results.total_cooling_demand,Total Cooling Demand,code_min,Code Min,Total Cooling Demand,kWh/m2,10.3768779286,462
certification_results,certification_results.total_cooling_demand,Total Cooling Demand,ph_assemblies,PH Assemblies,Total Cooling Demand,kWh/m2,11.1603004319,462
certification_results,certification_results.total_cooling_demand,Total Cooling Demand,airtightness_erv,Airtightness + ERV,Total Cooling Demand,kWh/m2,11.0800801532,462
certification_results,certification_results.total_cooling_demand,Total Cooling Demand,ph_windows,PH Windows,Total Cooling Demand,kWh/m2,11.6135702774,462
certification_results,certification_results.peak_heat_load,Peak Heat Load,code_min,Code Min,Peak Heat Load,W/m2,32.7290838619,463
certification_results,certification_results.peak_heat_load,Peak Heat Load,ph_assemblies,PH Assemblies,Peak Heat Load,W/m2,31.4569522697,463
certification_results,certification_results.peak_heat_load,Peak Heat Load,airtightness_erv,Airtightness + ERV,Peak Heat Load,W/m2,22.9695393773,463
certification_results,certification_results.peak_heat_load,Peak Heat Load,ph_windows,PH Windows,Peak Heat Load,W/m2,17.5317308531,463
certification_results,certification_results.peak_cooling_load,Peak Cooling Load,code_min,Code Min,Peak Cooling Load,W/m2,13.7706515794,464
certification_results,certification_results.peak_cooling_load,Peak Cooling Load,ph_assemblies,PH Assemblies,Peak Cooling Load,W/m2,13.9543471476,464
certification_results,certification_results.peak_cooling_load,Peak Cooling Load,airtightness_erv,Airtightness + ERV,Peak Cooling Load,W/m2,14.1616677182,464
