metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
co2e,heating,ph_assemblies,tonsCO2e,2.65278617338,co2e.heating,Heating,502
co2e,cooling,ph_assemblies,tonsCO2e,0.688581939154,co2e.cooling,Cooling,503
co2e,dhw,ph_assemblies,tonsCO2e,0.985582724346,co2e.dhw,DHW,504
co2e,dishwashing,ph_assemblies,tonsCO2e,0.0327773905905,co2e.dishwashing,Dishwashing,505
co2e,clothes_washing,ph_assemblies,tonsCO2e,0.0188113034217,co2e.clothes_washing,Clothes Washing,506
co2e,clothes_drying,ph_assemblies,tonsCO2e,0.0892676757729,co2e.clothes_drying,Clothes Drying,507
co2e,refrigerator,ph_assemblies,tonsCO2e,0.128181635568,co2e.refrigerator,Refrigerator,508
co2e,cooking,ph_assemblies,tonsCO2e,0.117547683501,co2e.cooking,Cooking,509
co2e,phi_lighting,ph_assemblies,tonsCO2e,0.0568742711852,co2e.phi_lighting,PHI Lighting,510
co2e,phi_consumer_elec,ph_assemblies,tonsCO2e,0.176336663529,co2e.phi_consumer_elec,PHI Consumer Elec.,511
co2e,phi_small_appliances,ph_assemblies,tonsCO2e,0.0189467159492,co2e.phi_small_appliances,PHI Small Appliances,512
co2e,phius_int_lighting,ph_assemblies,tonsCO2e,0,co2e.phius_int_lighting,Phius Int. Lighting,513
co2e,phius_ext_lighting,ph_assemblies,tonsCO2e,0,co2e.phius_ext_lighting,Phius Ext. Lighting,514
co2e,phius_mel,ph_assemblies,tonsCO2e,0,co2e.phius_mel,Phius MEL,515
co2e,aux_elec,ph_assemblies,tonsCO2e,0,co2e.aux_elec,Aux Elec,516
co2e,ipcc_limit,ph_assemblies,tonsCO2e,3.2668631965,co2e.ipcc_limit,IPCC Limit,517
phius_net_source_energy,total,ph_assemblies,kWh,44851.8337129,primary_energy.*,Primary Energy total,
phius_net_source_energy,limit,ph_assemblies,kWh,11189.006448,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
site_energy,heating,airtightness_erv,kWh,6030.37222063,site_energy.heating,Heating,423
site_energy,cooling,airtightness_erv,kWh,2420.33595622,site_energy.cooling,Cooling,424
site_energy,dhw,airtightness_erv,kWh,3383.96477216,site_energy.dhw,DHW,425
site_energy,dishwashing,airtightness_erv,kWh,113.867887278,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,airtightness_erv,kWh,65.3500275336,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,airtightness_erv,kWh,310.113815021,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,airtightness_erv,kWh,445.3,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,airtightness_erv,kWh,408.357899562,site_energy.cooking,Cooking,430
site_energy,phi_lighting,airtightness_erv,kWh,197.579886124,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,airtightness_erv,kWh,612.589439363,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,airtightness_erv,kWh,65.8204474829,site_energy.phi_small_appliances,PHI Small Appliances,433
site_energy,phius_int_lighting,airtightness_erv,kWh,0,site_energy.phius_int_lighting,Phius Int. Lighting,434
site_energy,phius_ext_lighting,airtightness_erv,kWh,0,site_energy.phius_ext_lighting,Phius Ext. Lighting,435
site_energy,phius_mel,airtightness_erv,kWh,0,site_energy.phius_mel,Phius MEL,436
site_energy,aux_elec,airtightness_erv,kWh,0,site_energy.aux_elec,Aux Elec,437
site_energy,solar_pv,airtightness_erv,kWh,0,site_energy.solar_pv,Solar PV,438
primary_energy,heating,airtightness_erv,kWh,15678.9677736,primary_energy.heating,Heating,441
phius_net_source_energy,heating,airtightness_erv,kWh,15678.9677736,primary_energy.heating,Heating,441
primary_energy,cooling,airtightness_erv,kWh,6292.87348618,primary_energy.cooling,Cooling,442
phius_net_source_energy,cooling,airtightness_erv,kWh,6292.87348618,primary_energy.cooling,Cooling,442
primary_energy,dhw,airtightness_erv,kWh,8798.30840762,primary_energy.dhw,DHW,443
phius_net_source_energy,dhw,airtightness_erv,kWh,8798.30840762,primary_energy.dhw,DHW,443
primary_energy,dishwashing,airtightness_erv,kWh,296.056506922,primary_energy.dishwashing,Dishwashing,444
phius_net_source_energy,dishwashing,airtightness_erv,kWh,296.056506922,primary_energy.dishwashing,Dishwashing,444
primary_energy,clothes_washing,airtightness_erv,kWh,169.910071587,primary_energy.clothes_washing,Clothes Washing,445
phius_net_source_energy,clothes_washing,airtightness_erv,kWh,169.910071587,primary_energy.clothes_washing,Clothes Washing,445
primary_energy,clothes_drying,airtightness_erv,kWh,806.295919055,primary_energy.clothes_drying,Clothes Drying,446
phius_net_source_energy,clothes_drying,airtightness_erv,kWh,806.295919055,primary_energy.clothes_drying,Clothes Drying,446
primary_energy,refrigerator,airtightness_erv,kWh,1157.78,primary_energy.refrigerator,Refrigerator,447
phius_net_source_energy,refrigerator,airtightness_erv,kWh,1157.78,primary_energy.refrigerator,Refrigerator,447
primary_energy,cooking,airtightness_erv,kWh,1061.73053886,primary_energy.cooking,Cooking,448
phius_net_source_energy,cooking,airtightness_erv,kWh,1061.73053886,primary_energy.cooking,Cooking,448
primary_energy,phi_lighting,airtightness_erv,kWh,513.707703923,primary_energy.phi_lighting,PHI Lighting,449
phius_net_source_energy,phi_lighting,airtightness_erv,kWh,513.707703923,primary_energy.phi_lighting,PHI Lighting,449
primary_energy,phi_consumer_elec,airtightness_erv,kWh,1592.73254234,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
phius_net_source_energy,phi_consumer_elec,airtightness_erv,kWh,1592.73254234,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
primary_energy,phi_small_appliances,airtightness_erv,kWh,171.133163455,primary_energy.phi_small_appliances,PHI Small Appliances,451
phius_net_source_energy,phi_small_appliances,airtightness_erv,kWh,171.133163455,primary_energy.phi_small_appliances,PHI Small Appliances,451
primary_energy,phius_int_lighting,airtightness_erv,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
phius_net_source_energy,phius_int_lighting,airtightness_erv,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
primary_energy,phius_ext_lighting,airtightness_erv,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
phius_net_source_energy,phius_ext_lighting,airtightness_erv,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
primary_energy,phius_mel,airtightness_erv,kWh,0,primary_energy.phius_mel,Phius MEL,454
phius_net_source_energy,phius_mel,airtightness_erv,kWh,0,primary_energy.phius_mel,Phius MEL,454
primary_energy,aux_elec,airtightness_erv,kWh,0,primary_energy.aux_elec,Aux Elec,455
phius_net_source_energy,aux_elec,airtightness_erv,kWh,0,primary_energy.aux_elec,Aux Elec,455
primary_energy,solar_pv,airtightness_erv,kWh,0,primary_energy.solar_pv,Solar PV,456
